Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,2.907679775131033,0.25,3.0872315808935595,0.174
2,2.610093263172517,0.336,2.8714355181878295,0.254
3,2.4557941340554876,0.368,2.792811054855399,0.262
4,2.3656810165163895,0.401,2.738154222380901,0.286
5,2.2406215877310416,0.48,2.652457923404022,0.33
