Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,9.913834662460077,0.121,9.9586167039031,0.088
2,9.6515813089534,0.142,9.73391206499856,0.106
3,9.495276020614929,0.158,9.611656167861302,0.106
4,9.377790172852759,0.177,9.517692522206126,0.13
5,9.2734351219399,0.2,9.426986778501599,0.14
