2025-04-12 03:13:52,783 [INFO] Starting CIFAR-10 training...
2025-04-12 03:13:54,294 [INFO] Starting hyperparameter search...
2025-04-12 03:13:54,294 [INFO] 
2025-04-12 03:14:29,524 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,525 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,528 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,531 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,751 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,752 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,752 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,752 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,753 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,753 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,753 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,754 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,754 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,754 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,755 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,755 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,755 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,756 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,756 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,757 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,757 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,757 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,758 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
2025-04-12 03:14:29,758 [WARNING] findfont: Generic family 'sans-serif' not found because none of the following families were found: SimHei
