Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,2.658642662049748,0.118,2.691579312569277,0.098
2,2.5043641064569213,0.152,2.5654651845371377,0.116
3,2.404450531449129,0.17,2.4902258845139382,0.142
4,2.326142323725294,0.189,2.4355504796208596,0.16
5,2.263056223959609,0.208,2.3876560203601906,0.174
