Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,5.919337021796549,0.119,6.350643947901484,0.084
2,4.887264641629519,0.126,5.004886991990797,0.094
3,5.422522443027945,0.127,5.5895683507785,0.136
4,3.899675518017216,0.175,4.266109760252445,0.144
5,4.647664200657159,0.194,4.866192600560344,0.136
