Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,8.59237233844423,0.143,8.918580942533147,0.084
2,7.638400015399339,0.17,7.862563239703478,0.148
3,6.228739568668196,0.16,6.494616226450258,0.138
4,5.772685722785262,0.167,5.882834744928402,0.156
5,5.44090221510505,0.131,5.621500352833209,0.12
