Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,8.938921484099655,0.275,9.192560368493217,0.206
2,8.30112849809141,0.383,8.66606572241941,0.256
3,7.777853306746277,0.417,8.20965458790013,0.278
4,7.3886897319465845,0.455,7.9018280473274,0.304
5,6.988073193487229,0.53,7.509010186114148,0.322
