Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,2.1623009862581917,0.263,2.3124362946424304,0.228
2,1.9249560125480105,0.338,2.1490348052487267,0.266
3,1.7880460772755136,0.385,2.1187737115275467,0.282
4,1.666542798898352,0.452,2.050939710463691,0.34
5,1.5662576161823916,0.477,2.0496710864183663,0.324
