Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,3.446437756466242,0.115,3.4147129403086947,0.11
2,3.2917740356512892,0.129,3.2520744325691258,0.14
3,3.201641381925454,0.149,3.178733759792914,0.17
4,3.1272156584842277,0.176,3.118758468756209,0.176
5,3.0660358392481712,0.187,3.07388234053291,0.18
