Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,3.661711759733458,0.134,3.6221526863733575,0.114
2,3.9763806655775267,0.157,4.051270888236918,0.134
3,4.026941604969138,0.123,4.164328793407057,0.126
4,5.751239586097514,0.123,5.977965450951207,0.12
5,4.1220823112252285,0.136,4.479413114097157,0.086
